OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
53,1430103,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2C,0603,2020/01/02 10:08:00+00
54,1430104,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6B,1421,2020/01/02 11:24:00+00
55,1430105,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6D,0841,2020/01/02 14:33:00+00
56,1430106,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,2,2B,0563,2020/01/02 15:58:00+00
57,1430107,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,6,6D,0841,2020/01/03 02:31:00+00
58,1430108,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0541,2020/01/01 09:29:00+00
59,1430110,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0414,2020/01/02 16:44:00+00
60,1430111,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,2,2B,0563,2020/01/02 17:43:00+00
61,1430113,7399,98,SAC CITY CODE,12.52.040(A) STOR PER PROP-PUB,3,3A,0709,2020/01/02 17:58:00+00
62,1430115,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2A,0514,2020/01/02 19:19:00+00
63,1430116,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0302,2020/01/01 18:00:00+00
64,1430119,3599,48,NARCOTICS,11351 HS POSS FOR SALE/11054,2,2A,0504,2020/01/02 22:23:00+00
65,1430124,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0703,2020/01/03 01:13:00+00
66,1430125,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,0744,2020/01/01 20:30:00+00
67,1430140,5499,41,TRAFFIC,12500(A) UNLICENSED DRIVER,2,2B,0523,2020/01/02 19:37:00+00
68,1430144,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,2020/01/02 22:38:00+00
69,1430145,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6D,0851,2020/01/03 00:04:00+00
70,1430147,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1C,0456,2020/01/01 10:03:00+00
71,1430148,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,2,2C,0614,2020/01/03 03:02:00+00
72,1430149,5299,117,WEAPON OFFENSE,22610 ILL POSS OF STUNGUN,3,3A,0702,2020/01/03 03:58:00+00
73,1430151,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2B,0564,2020/01/02 01:30:00+00
74,1430152,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0912,2020/01/03 04:55:00+00
75,1430153,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2A,0233,2020/01/01 09:00:00+00
76,1430157,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,0612,2020/01/01 15:43:00+00
77,1430158,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2B,0537,2020/01/01 18:03:00+00
78,1430160,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,0353,2020/01/03 07:30:00+00
79,1430163,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,6,6C,1422,2020/01/01 10:00:00+00
80,1430171,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,0221,2020/01/02 20:11:00+00
81,1430182,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1623,2020/01/03 02:15:00+00
82,1430184,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1286,2020/01/03 05:09:00+00
83,1430185,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0763,2020/01/03 05:56:00+00
84,1430186,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1C,0429,2020/01/03 09:15:00+00
85,1430187,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,2,2A,0513,2020/01/03 10:20:00+00
86,1430190,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,4,4B,0969,2020/01/02 22:30:00+00
87,1430199,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0903,2020/01/02 02:00:00+00
88,1430200,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0703,2020/01/03 20:36:00+00
89,1430204,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0725,2020/01/01 10:00:00+00
90,1430208,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0841,2020/01/02 21:34:00+00
91,1430210,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0619,2020/01/02 19:42:00+00
92,1430215,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6A,1032,2020/01/03 08:02:00+00
93,1430218,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0898,2020/01/02 02:15:00+00
94,1430222,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2020/01/02 20:28:00+00
95,1430224,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0776,2020/01/02 05:08:00+00
96,1430226,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1001,2020/01/03 02:00:00+00
97,1430229,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0742,2020/01/03 16:05:00+00
98,1430237,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6C,1424,2020/01/02 09:40:00+00
99,1430239,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,5,5B,1621,2020/01/03 00:30:00+00
100,1430240,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6C,1403,2020/01/02 18:05:00+00
101,1430277,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,2020/01/02 22:08:00+00
102,1430278,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0744,2020/01/02 22:31:00+00
103,1430282,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4B,1356,2020/01/03 04:59:00+00
104,1430284,5212,73,WEAPON OFFENSE,25850(C)(4) LOADED GUN PRO PER,6,6A,1042,2020/01/03 01:31:00+00
105,1430289,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,1,1A,0104,2020/01/01 19:06:00+00
106,1430290,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,5,5C,1651,2020/01/01 17:02:00+00
107,1430297,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,0478,2020/01/03 20:27:00+00
108,1430300,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,0977,2020/01/02 21:41:00+00
109,1430302,2604,0,FRAUD,529(A) FALSE PERSONATION-FEL,4,4A,0906,2020/01/03 17:47:00+00
110,1430305,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,3,3A,0701,2020/01/03 12:00:00+00
111,1430310,5212,54A,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-MISD,3,3M,0732,2020/01/02 16:18:00+00
112,1430311,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3B,0738,2020/01/03 23:51:00+00
113,1430312,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0735,2020/01/03 14:44:00+00
114,1430313,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0734,2020/01/03 15:56:00+00
115,1430314,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6D,0861,2020/01/03 17:05:00+00
116,1430315,7399,78,PUBLIC ORDER,370 PC PUBLIC NUISANCE,3,3A,0715,2020/01/03 17:12:00+00
117,1430317,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6D,0861,2020/01/03 18:19:00+00
118,1430319,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6E,0878,2020/01/03 04:11:00+00
119,1430326,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0776,2020/01/03 02:15:00+00
120,1430327,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,5,5B,1369,2020/01/03 21:40:00+00
121,1430328,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,5,5B,1631,2020/01/03 18:56:00+00
122,1430330,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1637,2020/01/03 02:49:00+00
123,1430334,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3A,0715,2020/01/04 04:42:00+00
124,1430336,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,3,3B,0748,2020/01/04 04:42:00+00
125,1430341,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,5,5C,1606,2020/01/04 02:12:00+00
126,1430342,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0773,2020/01/02 03:00:00+00
127,1430343,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,3,3B,0748,2020/01/04 07:06:00+00
128,1430346,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1522,2020/01/02 22:11:00+00
129,1430351,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,2,2A,0512,2020/01/03 15:26:00+00
130,1430353,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,6,6C,1405,2020/01/03 18:12:00+00
131,1430356,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,6,6C,1441,2020/01/03 18:54:00+00
132,1430357,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1032,2020/01/03 22:36:00+00
133,1430358,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1B,0421,2020/01/04 05:12:00+00
134,1430359,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6A,1032,2020/01/03 22:00:00+00
135,1430360,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2C,0623,2020/01/03 23:39:00+00
136,1430361,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6D,0841,2020/01/04 01:01:00+00
137,1430371,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1394,2020/01/03 13:30:00+00
138,1430372,2399,2,LARCENY,484 PC PETTY THEFT,2,2B,0537,2020/01/03 05:30:00+00
139,1430373,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,2020/01/03 09:00:00+00
140,1430375,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0409,2020/01/01 09:01:00+00
141,1430377,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,2020/01/03 09:00:00+00
142,1430378,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3B,0748,2020/01/02 17:00:00+00
143,1430381,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0841,2020/01/03 09:00:00+00
144,1430383,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1251,2020/01/02 07:00:00+00
145,1430384,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3B,0718,2020/01/03 06:00:00+00
146,1430385,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,0353,2020/01/03 10:00:00+00
147,1430386,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,5,5C,1654,2020/01/01 20:20:00+00
148,1430388,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0525,2020/01/04 13:00:00+00
149,1430389,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0626,2020/01/04 04:00:00+00
150,1430390,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,5,5C,1644,2020/01/03 20:47:00+00
151,1430391,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,5,5C,1639,2020/01/03 05:39:00+00
152,1430400,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,1035,2020/01/04 10:43:00+00
153,1430404,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0337,2020/01/04 15:01:00+00
154,1430408,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,3,3B,0748,2020/01/04 09:47:00+00
155,1430410,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0715,2020/01/04 02:40:00+00
156,1430415,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0861,2020/01/01 08:09:00+00
157,1430416,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0537,2020/01/04 18:00:00+00
158,1430417,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,1279,2020/01/01 23:32:00+00
159,1430418,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,2020/01/04 16:14:00+00
160,1430419,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0725,2020/01/04 17:31:00+00
161,1430423,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6B,1018,2020/01/02 08:55:00+00
162,1430456,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2A,0213,2020/01/04 15:40:00+00
163,1430457,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,2,2B,0523,2020/01/02 20:38:00+00
164,1430467,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0435,2020/01/02 23:34:00+00
165,1430468,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1A,0338,2020/01/02 23:51:00+00
166,1430473,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0526,2020/01/03 14:50:00+00
167,1430474,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6E,0876,2020/01/04 16:26:00+00
168,1430476,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3A,0715,2020/01/04 01:28:00+00
169,1430477,3599,50,NARCOTICS,4573.5 BRING DRUGS INTO JAIL,6,6B,1084,2020/01/04 18:38:00+00
170,1430478,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0564,2020/01/04 00:50:00+00
171,1430481,5707,6,TRESPASS,602(L)(1)TRESPASS REFUSE TO LV,3,3A,0704,2020/01/04 06:56:00+00
172,1430484,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2C,0611,2020/01/02 01:28:00+00
173,1430489,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4B,1326,2020/01/05 00:11:00+00
174,1430490,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0618,2020/01/03 20:52:00+00
175,1430491,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0619,2020/01/05 04:30:00+00
176,1430493,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0746,2020/01/02 20:57:00+00
177,1430495,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5C,1639,2020/01/04 20:50:00+00
178,1430496,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0144,2020/01/04 01:35:00+00
179,1430497,5499,452,TRAFFIC,14601.2(A) SUSP LIC-DUI CONVCT,4,4A,0937,2020/01/05 03:11:00+00
180,1430498,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4A,0957,2020/01/03 23:50:00+00
181,1430500,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0104,2020/01/03 17:10:00+00
182,1430501,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,6,6C,1114,2020/01/04 20:45:00+00
183,1430502,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,3,3A,0712,2020/01/04 08:54:00+00
184,1430508,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,2020/01/03 10:47:00+00
185,1430516,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,2020/01/04 07:18:00+00
186,1430518,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0746,2020/01/05 09:39:00+00
187,1430520,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6D,0832,2020/01/02 19:46:00+00
188,1430533,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,0224,2020/01/04 22:30:00+00
189,1430540,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,2020/01/05 04:30:00+00
190,1430542,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,0785,2020/01/04 03:00:00+00
191,1430543,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0434,2020/01/05 07:00:00+00
192,1430545,3532,1,DANGEROUS DRUG,11351 HS POSS/SALE COCAINE,2,2A,0233,2020/01/04 08:24:00+00
193,1430546,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,1,1B,0435,2020/01/03 03:19:00+00
194,1430547,3560,4,NARCOTICS,11359(C) POSS MARIJ FOR SALE-F,3,3A,0707,2020/01/03 22:37:00+00
195,1430548,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1605,2020/01/05 09:26:00+00
196,1430549,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,4,4B,1351,2020/01/05 08:10:00+00
197,1430550,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1132,2020/01/05 06:40:00+00
198,1430551,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3B,0726,2020/01/03 22:06:00+00
199,1430552,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,2020/01/05 09:36:00+00
200,1430553,5499,113,TRAFFIC,4463(A)(1) VC ALTER REG-FEL,4,4C,1227,2020/01/05 04:25:00+00
201,1430557,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1065,2020/01/02 08:00:00+00
202,1430567,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,6,6C,1447,2020/01/05 09:50:00+00
203,1430570,2803,04,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,2,2A,0226,2020/01/05 07:30:00+00
204,1430571,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0449,2020/01/05 07:00:00+00
205,1430572,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0908,2020/01/01 18:46:00+00
206,1430573,5404,01,TRAFFIC,23152(B) DUI BAC >.08,6,6E,1116,2020/01/05 14:28:00+00
207,1430576,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,5,5B,1358,2020/01/05 07:09:00+00
208,1430577,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3A,0704,2020/01/05 10:45:00+00
209,1430578,2308,0,LARCENY,484 PC PETTY THEFT/INSIDE,3,3M,0742,2020/01/04 00:19:00+00
210,1430581,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,5,5C,1654,2020/01/03 02:40:00+00
211,1430584,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1369,2020/01/03 04:15:00+00
212,1430587,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,4,4B,1326,2020/01/05 15:00:00+00
213,1430588,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0912,2020/01/03 05:42:00+00
214,1430589,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0712,2020/01/05 22:33:00+00
215,1430590,5707,11,TRESPASS,587B PC TRESPASS RR/TRAIN,3,3A,0765,2020/01/02 23:31:00+00
216,1430591,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,2,2B,0556,2020/01/05 04:43:00+00
217,1430592,5403,1,TRAFFIC,23152(F) DUI DRUGS,2,2C,0601,2020/01/05 17:03:00+00
218,1430596,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,1441,2020/01/05 17:51:00+00
219,1430601,5707,0,PRIVACY,602 PC TRESPASS,2,2C,0618,2020/01/06 00:10:00+00
220,1430602,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6B,1065,2020/01/05 22:59:00+00
221,1430607,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,1117,2020/01/05 08:00:00+00
222,1430608,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,6,6E,1101,2020/01/05 00:14:00+00
223,1430609,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0746,2020/01/03 11:18:00+00
