FID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
78,1001046,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,2,2B,0563,2014/01/02 01:49:00
79,1001049,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3C,0814,2014/01/02 03:59:59
80,1001050,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1369,2014/01/02 06:00:00
81,1001051,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1113,2014/01/02 11:15:00
82,1001054,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3C,0841,2014/01/02 03:30:00
83,1001059,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1035,2014/01/02 21:30:00
84,1001065,5707,0,PRIVACY,602 PC TRESPASS,6,6B,1064,2014/01/02 16:25:59
85,1001066,7399,29,SAC CITY CODE,9.04.050(B) DRINK ON ADJ PROP,5,5A,1364,2014/01/02 18:36:00
86,1001068,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,0552,2014/01/01 22:25:59
87,1001082,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,4,4B,1326,2014/01/02 01:05:00
88,1001084,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,UI,UI,UI,2014/01/02 07:49:00
89,1001085,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,3,3C,0888,2014/01/02 09:06:00
90,1001086,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6B,1421,2014/01/02 09:06:00
91,1001136,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,6,6B,1064,2014/01/02 20:09:00
92,1001137,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,5,5C,1606,2014/01/02 23:29:00
93,1001138,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6A,1031,2014/01/03 00:17:00
94,1001139,3599,28,NARCOTICS,4140 BP POSS OF HYPO NEEDLE,2,2B,0552,2014/01/03 00:43:59
95,1001140,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0603,2014/01/03 02:42:00
96,1001142,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0741,2014/01/03 02:31:00
97,1001143,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,2,2B,0564,2014/01/02 01:38:59
98,1001144,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2B,0531,2014/01/02 02:23:59
99,1001150,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,4,4B,0998,2014/01/01 08:00:00
100,1001152,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2B,0526,2014/01/02 01:17:00
101,1001723,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1621,2014/01/05 05:12:00
102,1001724,2999,031,VANDALISM,594(B)(1) VAND/METL THFT >$400,3,3M,0746,2014/01/05 08:45:00
103,1001729,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2B,0553,2014/01/06 00:51:00
104,1001735,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,4,4C,0985,2014/01/04 00:49:59
105,1001742,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,6,6A,1081,2014/01/02 21:42:00
106,1001747,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,3,3A,0721,2014/01/02 21:36:00
107,1001748,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5B,1622,2014/01/05 06:59:00
108,1001751,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5B,1621,2014/01/05 05:12:00
109,1001752,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0748,2014/01/03 18:51:00
110,1001753,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0449,2014/01/04 00:13:00
111,1001755,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,1523,2014/01/02 09:30:00
112,1001762,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,5,5C,1623,2014/01/06 01:46:00
113,1001763,5707,0,PRIVACY,602 PC TRESPASS,5,5C,1606,2014/01/06 02:36:59
114,1001764,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,4,4B,1351,2014/01/04 09:53:59
115,1001765,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,UI,UI,UI,2014/01/05 09:49:59
116,1001766,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,2,2C,0603,2014/01/06 04:18:00
117,1001767,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0715,2014/01/06 05:44:00
118,1001768,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6B,1421,2014/01/06 02:45:00
119,1001769,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1B,0411,2014/01/05 00:01:00
120,1001770,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0619,2014/01/06 00:36:00
121,1001771,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,4,4C,1279,2014/01/06 01:01:00
122,1001784,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0336,2014/01/06 13:31:59
123,1001788,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5A,1398,2014/01/06 03:29:00
124,1001789,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,1203,2014/01/06 05:00:00
125,1001793,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3A,0764,2014/01/05 23:07:59
126,1001796,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1653,2014/01/06 03:29:00
127,1001797,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,0966,2014/01/04 08:29:59
128,1001799,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0748,2014/01/05 23:00:00
129,1001800,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1333,2014/01/05 08:00:00
130,1001803,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1391,2014/01/04 05:00:00
131,1001806,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1401,2014/01/03 00:00:00
132,1001808,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,5,5B,1621,2014/01/06 11:42:00
133,1001809,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0348,2014/01/02 22:30:00
134,1001818,2604,4,FRAUD,530 PC FALSE PERS. REC PROP,4,4A,0905,2014/01/03 06:59:59
135,1001819,4902,0,FUGITIVE,1551(A) FUGITIVE FROM JUSTICE,4,4C,0985,2014/01/02 01:38:59
136,1001822,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0726,2014/01/03 16:15:00
137,1001834,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,5,5C,1606,2014/01/05 01:12:59
138,1001836,5212,12,WEAPON OFFENSE,653K PC POSS/SELL SWITCHBLADE,5,5C,1606,2014/01/05 04:02:59
139,1001837,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5B,1602,2014/01/05 04:30:00
140,1001840,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2C,0618,2014/01/03 17:25:00
141,1001842,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5C,1607,2014/01/04 00:00:00
142,1001844,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1041,2014/01/03 17:00:00
143,1001848,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,2,2C,0557,2014/01/03 10:04:00
144,1001849,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2A,0235,2014/01/05 04:04:00
145,1001850,2506,03,FRAUD,475(C) PASS COMP CK W/INTENT,4,4A,0907,2014/01/05 18:08:59
146,1001851,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1A,0337,2014/01/05 14:10:59
147,1001853,2604,4,FRAUD,530 PC FALSE PERS. REC PROP,6,6C,1409,2014/01/06 22:44:00
148,1001164,2309,0,LARCENY,484 PC PETTY THEFT/OUTSIDE,3,3A,0724,2014/01/02 03:08:59
149,1001854,2605,12,FRAUD,484J PC PUBLISH CARD INFO,4,4C,1259,2014/01/06 20:00:00
150,1001855,5499,16,TRAFFIC,PARKING VIOLATIONS-CVC,1,1C,0449,2014/01/06 10:21:59
151,1001860,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0628,2014/01/02 04:30:00
152,1001168,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1B,0435,2014/01/03 02:05:00
153,1001170,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,5,5C,1654,2014/01/03 02:48:59
154,1001178,7399,69,SAC CITY CODE,12.72.090 SCC IN PK AFTER HRS,3,3M,0734,2014/01/03 06:14:59
155,1001181,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1443,2014/01/02 03:59:59
156,1001182,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0404,2014/01/01 09:59:59
157,1001185,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,2,2C,0617,2014/01/02 04:18:00
158,1001202,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3B,0726,2014/01/03 06:52:00
159,1001203,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,2,2B,0564,2014/01/03 05:42:00
160,1001205,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,5,5C,1607,2014/01/03 00:58:00
161,1001206,2501,01,FORGERY,476 PC PASS FICTICIOUS CHECK,3,3A,0721,2014/01/03 07:01:00
162,1001207,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6B,1065,2014/01/03 07:57:59
163,1001210,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3M,0745,2014/01/01 09:14:59
164,1001213,5707,0,PRIVACY,602 PC TRESPASS,5,5C,1661,2014/01/01 20:06:00
165,1001215,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3A,0732,2014/01/01 21:17:59
166,1001221,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0306,2014/01/02 13:09:00
167,1001222,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,1203,2014/01/02 06:59:59
168,1001223,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,5,5C,1634,2014/01/02 15:29:00
169,1001226,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6A,1061,2014/01/02 00:00:00
170,1001228,5707,0,PRIVACY,602 PC TRESPASS,5,5B,1621,2014/01/02 19:51:59
171,1001238,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2B,0531,2014/01/03 00:49:00
172,1001240,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0532,2014/01/03 01:33:00
173,1001242,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,2014/01/03 03:01:00
174,1001243,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2A,0231,2014/01/01 21:59:59
175,1001244,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1369,2014/01/03 00:14:59
176,1001248,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,2,2B,0564,2014/01/03 06:01:59
177,1001251,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,1,1C,0447,2014/01/03 06:26:00
178,1001257,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2C,0602,2014/01/03 09:00:00
179,1001260,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,UI,UI,UI,2014/01/02 23:50:00
180,1001262,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0104,2014/01/03 09:00:00
181,1001279,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,6,6A,1061,2014/01/02 20:18:00
182,1001290,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5C,1634,2014/01/02 15:30:00
183,1001291,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,3,3M,0744,2014/01/02 19:50:00
184,1001293,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6A,1051,2014/01/03 00:36:59
185,1001295,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,3,3C,1102,2014/01/03 21:08:00
186,1001303,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,4,4B,1354,2014/01/03 00:59:59
187,1001307,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3M,0742,2014/01/02 06:32:00
188,1001310,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6B,1065,2014/01/03 17:16:00
189,1001315,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,1,1C,0426,2014/01/01 08:00:00
190,1001316,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,6,6C,1153,2014/01/03 10:25:59
191,1001321,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1B,0404,2014/01/03 14:26:59
192,1001322,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0435,2014/01/02 02:29:59
193,1001323,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2B,0545,2014/01/01 17:29:59
194,1001324,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0136,2014/01/02 01:30:00
195,1001332,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,2,2B,0543,2014/01/01 20:31:00
196,1001333,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,2,2B,0521,2014/01/01 21:17:00
197,1001334,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,5,5C,1637,2014/01/01 23:03:59
198,1001335,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0136,2014/01/01 12:58:00
199,1001340,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1651,2014/01/01 19:40:00
200,1001343,7399,250,SAC CITY CODE,8.132.030 ILL CULT OF MARIJUAN,1,1B,0423,2014/01/02 03:14:00
201,1001511,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4C,1285,2014/01/04 12:59:00
202,1001513,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0304,2014/01/02 06:30:00
203,1001514,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1C,0447,2014/01/02 09:14:59
204,1001516,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3C,0899,2014/01/01 22:20:00
205,1001518,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,1203,2014/01/02 03:00:00
206,1001519,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0434,2014/01/03 17:10:00
207,1001520,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0763,2014/01/02 22:15:00
208,1001521,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0742,2014/01/03 00:33:59
209,1001522,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0742,2014/01/03 04:22:59
210,1001527,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4A,0956,2014/01/01 10:30:00
211,1001529,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2B,0564,2014/01/01 11:15:00
212,1001530,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,1,1C,0428,2014/01/02 16:34:59
213,1001531,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,0766,2014/01/04 01:44:59
214,1001533,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0424,2014/01/02 21:20:00
215,1001538,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0616,2014/01/01 21:30:00
216,1001541,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,6,6B,1003,2014/01/03 18:48:00
217,1001543,2205,1,BURGLARY,459 PC BURG BUSINESS-SHOPLIFT,6,6B,1084,2014/01/04 02:47:00
218,1001545,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0338,2014/01/04 06:00:00
219,1001546,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6A,1041,2014/01/04 16:38:00
220,1001590,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,5,5C,1624,2014/01/05 03:17:59
221,1001591,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,6,6B,1064,2014/01/05 06:36:00
222,1001592,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,3,3M,0741,2014/01/05 07:43:00
223,1001593,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3A,0732,2014/01/01 09:58:00
224,1001594,3532,0,DANGEROUS DRUG,11350(A)HS POSS CNTRL SUBST,3,3B,0717,2014/01/04 20:00:00
225,1001595,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,1,1C,0309,2014/01/04 22:24:00
226,1001597,3562,2,NARCOTICS,11357(A) POSS CONC CAN W/SUP X,4,4A,0907,2014/01/05 00:20:00
227,1001598,3572,0,NARCOTICS,11377(A) POSS AMPHETAMINES,6,6A,1015,2014/01/05 02:18:00
228,1001599,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,3,3M,0742,2014/01/05 02:57:00
229,1001600,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1C,0446,2014/01/05 06:59:00
230,1001601,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,3,3B,0746,2014/01/05 07:53:00
231,1001608,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6A,1051,2014/01/05 05:58:59
