OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
26,1495440,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0302,2021/01/02 05:00:00+00
27,1495448,3599,0,NARCOTICS,11370.1(A) POSSESS WHILE ARMED,5,5A,1504,2021/01/01 08:13:00+00
28,1495452,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,0611,2021/01/02 06:14:00+00
29,1495459,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0426,2021/01/02 13:30:00+00
30,1495463,2299,10,BURGLARY,459 PC BURG UNSPECIFIED-MISD,6,6C,1406,2021/01/02 13:20:00+00
31,1495474,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5B,1602,2021/01/02 06:56:00+00
32,1495478,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0419,2021/01/02 05:04:00+00
33,1495482,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,1354,2021/01/01 10:40:00+00
34,1495483,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4B,0969,2021/01/01 09:56:00+00
35,1495488,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0302,2021/01/02 04:00:00+00
36,1495494,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,6,6B,1064,2021/01/02 03:05:00+00
37,1495498,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,UI,UI,UI,2021/01/02 06:22:00+00
38,1495500,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1A,0106,2021/01/03 01:49:00+00
39,1495502,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3A,0704,2021/01/02 02:09:00+00
40,1495507,1602,4,ESCAPE,4550.1 RESCUE ATTEMPT PRISONER,3,3M,0732,2021/01/01 08:58:00+00
41,1495508,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0905,2021/01/02 17:01:00+00
42,1495510,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0532,2021/01/02 01:32:00+00
43,1495511,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0788,2021/01/03 03:51:00+00
44,1495512,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3M,0741,2021/01/03 01:40:00+00
45,1495514,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6A,1051,2021/01/03 03:27:00+00
46,1495515,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0563,2021/01/03 05:33:00+00
47,1495524,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0557,2021/01/02 16:57:00+00
48,1495525,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,5,5A,1393,2021/01/01 09:15:00+00
49,1495528,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2A,0226,2021/01/02 23:30:00+00
50,1495531,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,2,2B,0563,2021/01/03 07:39:00+00
51,1495537,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,1,1A,0305,2021/01/03 02:32:00+00
52,1495538,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,0544,2021/01/03 02:58:00+00
53,1495539,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1A,0106,2021/01/02 21:00:00+00
54,1495540,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6E,0899,2021/01/02 12:39:00+00
55,1495541,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,5,5C,1647,2021/01/03 02:50:00+00
56,1495542,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0843,2021/01/03 10:30:00+00
57,1495544,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0926,2021/01/03 08:00:00+00
58,1495545,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1604,2021/01/03 05:30:00+00
59,1495547,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0353,2021/01/03 00:00:00+00
60,1495566,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0718,2021/01/03 16:16:00+00
61,1495569,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0340,2021/01/03 04:00:00+00
62,1495570,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,2021/01/03 13:05:00+00
63,1495571,2099,9,ARSON,452(D)PC CAUSE FIRE OF PROPERT,2,2B,0545,2021/01/02 11:53:00+00
64,1495577,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,0214,2021/01/03 21:00:00+00
65,1495579,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0401,2021/01/03 18:30:00+00
66,1495581,5212,43,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,UI,UI,UI,2021/01/02 21:45:00+00
67,1495583,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,0506,2021/01/02 19:31:00+00
68,1495596,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,1371,2021/01/03 17:00:00+00
69,1495598,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1C,0406,2021/01/03 21:50:00+00
70,1495599,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1605,2021/01/03 08:41:00+00
71,1495600,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,0987,2021/01/02 22:40:00+00
72,1495605,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,6,6C,1445,2021/01/03 14:17:00+00
73,1495608,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1134,2021/01/02 15:20:00+00
74,1495609,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,6,6A,1034,2021/01/01 11:05:00+00
75,1495610,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,2021/01/02 13:30:00+00
76,1495612,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2C,0603,2021/01/03 00:13:00+00
77,1495616,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3A,0725,2021/01/02 01:12:00+00
78,1495618,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2021/01/03 02:31:00+00
79,1495619,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0206,2021/01/03 07:59:00+00
80,1495620,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,0512,2021/01/03 07:27:00+00
81,1495624,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2021/01/03 00:14:00+00
82,1495626,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,0423,2021/01/03 02:17:00+00
83,1495627,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1294,2021/01/03 12:30:00+00
84,1495630,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4C,1331,2021/01/03 17:03:00+00
85,1495634,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5B,1631,2021/01/03 11:00:00+00
86,1495641,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0618,2021/01/03 23:24:00+00
87,1495642,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0705,2021/01/03 09:06:00+00
88,1495643,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0747,2021/01/03 07:07:00+00
89,1495644,5213,5B,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-M,6,6A,1062,2021/01/03 10:49:00+00
90,1495646,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0622,2021/01/03 14:09:00+00
91,1495655,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1A,0336,2021/01/03 22:20:00+00
92,1495658,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,3,3M,0732,2021/01/03 23:48:00+00
93,1495660,5212,43,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,1,1C,0408,2021/01/04 02:13:00+00
94,1495661,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,0523,2021/01/03 05:48:00+00
95,1495666,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6D,0845,2021/01/03 00:25:00+00
96,1495667,2308,1,LARCENY,487(A) GRAND THEFT-INSIDE,6,6E,1101,2021/01/03 23:36:00+00
97,1495669,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,5,5A,1361,2021/01/01 18:58:00+00
98,1495671,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,6,6C,1146,2021/01/04 02:42:00+00
99,1495675,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,6,6D,0821,2021/01/03 13:32:00+00
100,1495676,5005,10,OBST JUDICIARY,166(C)(4) VIOL R/O W/PRIORS,4,4C,1311,2021/01/03 11:15:00+00
101,1495678,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1113,2021/01/04 02:44:00+00
102,1495685,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0541,2021/01/01 19:35:00+00
103,1495687,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6A,1001,2021/01/01 20:30:00+00
104,1495688,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5A,1361,2021/01/01 22:30:00+00
105,1495689,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0877,2021/01/01 21:55:00+00
106,1495690,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0737,2021/01/02 17:20:00+00
107,1495691,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1131,2021/01/01 13:30:00+00
108,1495695,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,0564,2021/01/03 23:20:00+00
109,1495696,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,2,2B,0541,2021/01/04 06:21:00+00
110,1495697,2302,0,LARCENY,487(C) GRAND THEFT-PURSE SNTCH,2,2B,0563,2021/01/03 23:00:00+00
111,1495698,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,1102,2021/01/01 08:00:00+00
112,1495701,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0136,2021/01/02 01:00:00+00
113,1495702,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0442,2021/01/02 04:00:00+00
114,1495703,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1421,2021/01/02 13:45:00+00
115,1495707,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1067,2021/01/02 10:25:00+00
116,1495714,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3A,0785,2021/01/04 06:17:00+00
117,1495721,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1084,2021/01/04 06:00:00+00
118,1495724,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0747,2021/01/04 07:00:00+00
119,1495726,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,6,6C,1445,2021/01/02 07:09:00+00
120,1495728,5212,75,WEAPON OFFENSE,25850(C)(6) LOAD GUN NOT R/O-F,1,1B,0410,2021/01/04 06:12:00+00
121,1495729,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,0831,2021/01/01 08:10:00+00
122,1495731,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6B,1084,2021/01/03 22:53:00+00
123,1495732,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,6,6B,1402,2021/01/04 13:49:00+00
124,1495737,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1637,2021/01/01 08:47:00+00
125,1495755,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,2,2B,0563,2021/01/04 04:35:00+00
126,1495757,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,1399,2021/01/03 07:01:00+00
127,1495762,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,3,3A,0784,2021/01/01 19:05:00+00
128,1495763,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6D,0835,2021/01/02 10:30:00+00
129,1495765,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4A,0913,2021/01/04 05:53:00+00
130,1495766,5212,68,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,5,5A,1381,2021/01/04 05:57:00+00
131,1495769,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5A,1394,2021/01/03 08:01:00+00
132,1495770,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,6,6A,1042,2021/01/03 17:08:00+00
133,1495774,5707,0,PRIVACY,602 PC TRESPASS,2,2B,0526,2021/01/04 18:40:00+00
134,1495783,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,6,6B,1077,2021/01/03 19:01:00+00
135,1495787,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0905,2021/01/03 02:30:00+00
136,1495795,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1621,2021/01/03 20:30:00+00
137,1495796,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0604,2021/01/02 20:00:00+00
138,1495797,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,0767,2021/01/03 18:30:00+00
139,1495801,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2021/01/04 20:36:00+00
140,1495804,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4B,1343,2021/01/04 15:00:00+00
141,1495806,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2B,0552,2021/01/02 13:48:00+00
142,1495819,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6B,1084,2021/01/03 13:00:00+00
143,1495820,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3M,0742,2021/01/02 05:45:00+00
144,1495821,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6D,0855,2021/01/04 17:44:00+00
145,1495826,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0563,2021/01/04 20:02:00+00
146,1495827,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0226,2021/01/04 13:00:00+00
147,1495833,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6B,1421,2021/01/04 15:20:00+00
148,1495834,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,3,3A,0702,2021/01/03 16:24:00+00
149,1495837,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0557,2021/01/04 01:15:00+00
150,1495842,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,0401,2021/01/01 10:00:00+00
151,1495843,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6B,1068,2021/01/02 06:42:00+00
152,1495844,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6E,1102,2021/01/03 11:00:00+00
153,1495845,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,0442,2021/01/03 10:45:00+00
154,1495848,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,0440,2021/01/03 19:25:00+00
155,1495849,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2A,0507,2021/01/01 13:07:00+00
156,1495850,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0728,2021/01/05 04:12:00+00
157,1495852,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1422,2021/01/03 19:00:00+00
158,1495853,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5C,1623,2021/01/04 23:15:00+00
159,1495855,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1B,0404,2021/01/04 02:00:00+00
160,1495859,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6E,0878,2021/01/04 01:30:00+00
161,1495863,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,0605,2021/01/02 03:30:00+00
162,1495867,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,1,1A,0337,2021/01/03 23:34:00+00
163,1495868,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2A,0508,2021/01/02 19:30:00+00
164,1495869,2506,02,FORGERY,475(A)PC POSS FORGED CHK/NOTE,1,1A,0336,2021/01/04 03:13:00+00
165,1495885,2310,0,LARCENY,1708 US THEFT OF MAIL,3,3A,0773,2021/01/03 19:30:00+00
166,1495886,2310,0,LARCENY,1708 US THEFT OF MAIL,3,3B,0727,2021/01/03 21:00:00+00
167,1495889,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1502,2021/01/01 14:13:00+00
168,1495890,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,0231,2021/01/03 01:35:00+00
169,1495892,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0435,2021/01/02 03:00:00+00
170,1495898,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4A,1204,2021/01/02 08:05:00+00
171,1495900,1315,39,AGG ASSAULT,245(A)(4)AWDW-FORCE ONLY,2,2B,0552,2021/01/05 09:53:00+00
172,1495901,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0718,2021/01/01 11:00:00+00
173,1495905,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0553,2021/01/04 02:58:00+00
174,1495906,2604,43,FRAUD,530.5(A) GET CRED W/OTH ID-MIS,3,3B,0748,2021/01/03 07:13:00+00
175,1495907,5499,141,TRAFFIC,2800.1(A) VC EVADE PEACE OFCR,2,2B,0563,2021/01/05 04:03:00+00
176,1495910,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,5,5B,1621,2021/01/03 12:00:00+00
177,1495911,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1081,2021/01/05 07:06:00+00
178,1495912,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2C,0611,2021/01/04 06:31:00+00
179,1495913,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1A,0337,2021/01/05 01:06:00+00
180,1495917,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5C,1623,2021/01/05 04:42:00+00
181,1495918,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6A,1071,2021/01/05 08:39:00+00
182,1495919,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1604,2021/01/05 04:15:00+00
183,1495920,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1132,2021/01/04 11:30:00+00
184,1495924,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,0811,2021/01/02 10:00:00+00
185,1495925,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0628,2021/01/03 22:30:00+00
186,1495926,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0768,2021/01/04 08:01:00+00
187,1495927,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0737,2021/01/01 23:30:00+00
188,1495928,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1018,2021/01/02 12:08:00+00
189,1495933,2399,40,LARCENY,490.2 GRAND THEFT <$950,6,6E,0899,2021/01/02 09:00:00+00
190,1495934,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0340,2021/01/03 06:35:00+00
191,1495936,2304,0,LARCENY,484 PC PETTY THEFT AUTO PART,4,4A,0936,2021/01/03 09:00:00+00
192,1495937,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0703,2021/01/03 20:00:00+00
193,1495938,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4B,1336,2021/01/03 22:00:00+00
194,1495939,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0116,2021/01/05 06:00:00+00
195,1495940,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1353,2021/01/05 16:30:00+00
196,1495943,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1058,2021/01/05 04:00:00+00
197,1495944,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1621,2021/01/02 06:00:00+00
198,1495945,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0418,2021/01/05 06:00:00+00
199,1495955,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0336,2021/01/04 16:30:00+00
200,1495957,5202,14,WEAPON OFFENSE,25400(A)(2) CCW ON PERSON-MIS,2,2A,0504,2021/01/05 20:14:00+00
201,1495958,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1C,0438,2021/01/02 04:55:00+00
202,1495960,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1644,2021/01/05 07:00:00+00
203,1495962,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,4,4A,0905,2021/01/04 10:12:00+00
204,1495963,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,6,6A,1041,2021/01/04 22:32:00+00
205,1495964,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1403,2021/01/05 07:23:00+00
206,1495965,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4B,1351,2021/01/05 10:02:00+00
207,1495968,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1A,0318,2021/01/02 01:25:00+00
208,1495969,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3A,0706,2021/01/01 20:00:00+00
209,1495970,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,0424,2021/01/04 12:43:00+00
210,1495973,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1C,0419,2021/01/05 06:48:00+00
211,1495974,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5C,1654,2021/01/05 07:57:00+00
212,1495975,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5B,1602,2021/01/05 11:21:00+00
213,1495981,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0517,2021/01/05 17:30:00+00
214,1495984,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,6,6A,1042,2021/01/05 21:13:00+00
215,1495985,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6D,0854,2021/01/05 21:11:00+00
216,1495989,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,5,5B,1369,2021/01/05 00:48:00+00
217,1495994,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3M,0741,2021/01/04 19:25:00+00
218,1496007,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0302,2021/01/02 20:00:00+00
219,1496009,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,5,5C,1639,2021/01/05 23:30:00+00
220,1496010,1313,25,ASSAULT,368(C) CAUSE PAIN/INJ TO ELDER,1,1A,0116,2021/01/04 23:32:00+00
221,1496011,5212,91,WEAPON OFFENSE,30605 POSS ASSAULT WEAPON,2,2A,0224,2021/01/04 21:56:00+00
222,1496012,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1086,2021/01/05 18:46:00+00
