OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
20,1359584,5212,54A,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-MISD,3,3B,0768,2019/01/02 01:03:00+00
21,1359585,5499,113,TRAFFIC,4463(A)(1) VC ALTER REG-FEL,2,2B,0564,2019/01/02 02:13:00+00
22,1359586,5212,59,WEAPON OFFENSE,"22210 POSS BILLYCLUB, SAP, ETC",3,3B,0728,2019/01/02 03:01:00+00
23,1359588,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5A,1393,2019/01/02 03:14:00+00
24,1359589,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,4,4A,0906,2019/01/02 03:39:00+00
25,1359591,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,0841,2019/01/02 04:22:00+00
26,1359595,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0701,2019/01/02 07:55:00+00
27,1359647,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2C,0613,2019/01/01 09:00:00+00
28,1359650,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0233,2019/01/02 13:45:00+00
29,1359689,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1A,0106,2019/01/02 03:31:00+00
30,1359703,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0426,2019/01/02 05:00:00+00
31,1359706,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1631,2019/01/01 12:16:00+00
32,1359707,7399,44,SAC CITY CODE,9.32.130 FIREARM USE IN CITY,6,6C,1132,2019/01/01 09:54:00+00
33,1359709,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0701,2019/01/01 12:11:00+00
34,1359710,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2B,0526,2019/01/02 03:00:00+00
35,1359713,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0344,2019/01/01 20:37:00+00
36,1359717,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,4,4A,0928,2019/01/01 12:16:00+00
37,1359719,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,6,6C,1112,2019/01/01 12:47:00+00
38,1359721,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2A,0516,2019/01/01 11:43:00+00
39,1359728,3699,19,SEX REGISTRATI,290.012(A) FAIL TO REG-ANNUAL,3,3A,0701,2019/01/02 21:11:00+00
40,1359732,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0553,2019/01/02 02:53:00+00
41,1359734,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1647,2019/01/02 02:36:00+00
42,1359737,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0232,2019/01/01 12:15:00+00
43,1359738,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,0421,2019/01/01 15:48:00+00
44,1359740,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5A,1361,2019/01/01 15:45:00+00
45,1359744,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4B,0958,2019/01/02 08:00:00+00
46,1359747,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2019/01/02 21:00:00+00
47,1359751,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0328,2019/01/02 21:45:00+00
48,1359753,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0447,2019/01/02 05:00:00+00
49,1359758,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2019/01/02 19:14:00+00
50,1359759,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0958,2019/01/02 13:30:00+00
51,1359760,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0414,2019/01/02 00:00:00+00
52,1359761,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1621,2019/01/02 09:05:00+00
53,1359762,2399,3,THEFT,485 PC PETTY THFT LOST PROP-M,3,3M,0735,2019/01/02 16:24:00+00
54,1359768,7399,22,SAC CITY CODE,8.48.010 POSS/SELL ILL FRWRKS,4,4A,0913,2019/01/02 07:05:00+00
55,1359770,7000,83,RELEASE,849(B)(1) CERTIFICATE OF RELEA,2,2A,0516,2019/01/02 10:10:00+00
56,1359775,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,UI,UI,UI,2019/01/02 06:49:00+00
57,1359777,3699,23,SEX REGISTRATI,290.012(A) FAIL TO REG-ANNUAL,3,3A,0703,2019/01/02 15:43:00+00
58,1359782,2999,15,VANDALISM,594(A)(1) VANDALISM-GRAFFITI,4,4C,1252,2019/01/01 16:39:00+00
59,1359792,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1393,2019/01/02 12:00:00+00
60,1359807,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,0876,2019/01/01 20:00:00+00
61,1359811,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2C,0602,2019/01/01 22:47:00+00
62,1359824,5309,02,PUBLIC PEACE,653X(A) MISUSE 911 EMERGENCY,2,2A,0212,2019/01/03 01:11:00+00
63,1359827,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2019/01/02 09:01:00+00
64,1359828,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0732,2019/01/02 18:49:00+00
65,1359829,5202,13,WEAPON OFFENSE,25400(A)(2) CCW ON PERSON-FEL,6,6A,1001,2019/01/02 00:15:00+00
66,1359835,5707,0,PRIVACY,602 PC TRESPASS,3,3A,0705,2019/01/02 18:10:00+00
67,1359836,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0510,2019/01/03 01:08:00+00
68,1359845,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1614,2019/01/02 03:24:00+00
69,1359875,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3M,0752,2019/01/02 22:30:00+00
70,1359886,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0765,2019/01/01 13:45:00+00
71,1359889,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0765,2019/01/03 02:00:00+00
72,1359894,3699,22,SEX REGISTRATI,290.011(A) TRANS-30 DAY UPDTE,3,3A,0701,2019/01/03 17:10:00+00
73,1359897,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,4,4B,0998,2019/01/03 15:00:00+00
74,1359902,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6A,1051,2019/01/02 06:57:00+00
75,1359906,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,4,4B,0969,2019/01/02 03:48:00+00
76,1359916,3501,01,NARCOTICS,11379(A)TRANS/SELL CONTRLD SUB,4,4A,0965,2019/01/02 19:10:00+00
77,1359919,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1A,0123,2019/01/02 19:44:00+00
78,1359923,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5A,1393,2019/01/02 04:10:00+00
79,1359924,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,4,4B,0958,2019/01/02 19:35:00+00
80,1359925,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2019/01/03 18:55:00+00
81,1359932,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0527,2019/01/03 04:30:00+00
82,1359933,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1278,2019/01/03 04:00:00+00
83,1359937,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,6,6C,1111,2019/01/03 01:22:00+00
84,1359950,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0116,2019/01/02 16:20:00+00
85,1359953,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1631,2019/01/03 01:14:00+00
86,1359956,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1637,2019/01/02 20:00:00+00
87,1359959,3563,0,NARCOTICS,11358 HS CULTIVATE MARIJUANA,6,6B,1402,2019/01/03 18:05:00+00
88,1359961,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0515,2019/01/03 09:11:00+00
89,1359964,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2B,0546,2019/01/02 23:37:00+00
90,1359972,5309,02,PUBLIC PEACE,653X(A) MISUSE 911 EMERGENCY,2,2A,0212,2019/01/02 08:37:00+00
91,1359979,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2B,0556,2019/01/01 22:30:00+00
92,1359980,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3M,0732,2019/01/01 08:15:00+00
93,1359982,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0957,2019/01/02 19:31:00+00
94,1359983,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0545,2019/01/02 05:45:00+00
95,1359985,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1058,2019/01/02 20:08:00+00
96,1359986,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0552,2019/01/02 00:41:00+00
97,1359987,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4C,1279,2019/01/02 01:16:00+00
98,1359989,5299,9,WEAPON OFFENSE,12022(A)(1)PC ARMED COMM FEL,5,5C,1654,2019/01/02 18:30:00+00
99,1359990,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5B,1369,2019/01/03 02:55:00+00
100,1359993,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0905,2019/01/02 20:30:00+00
101,1359997,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1511,2019/01/03 09:33:00+00
102,1360007,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2B,0564,2019/01/02 08:38:00+00
103,1360010,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1422,2019/01/02 02:00:00+00
104,1360012,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1369,2019/01/02 10:00:00+00
105,1360015,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6C,1124,2019/01/02 19:08:00+00
106,1360016,3563,0,NARCOTICS,11358 HS CULTIVATE MARIJUANA,5,5B,1612,2019/01/03 15:51:00+00
107,1360018,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1427,2019/01/03 14:15:00+00
108,1360019,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,3,3A,0714,2019/01/03 05:55:00+00
109,1360021,3699,21,SEX REGISTRATI,290(B) FAIL REG-ENT JURISDICT,6,6E,0888,2019/01/03 09:07:00+00
110,1360022,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0726,2019/01/03 19:26:00+00
111,1360041,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4C,0985,2019/01/02 02:00:00+00
112,1360051,5005,4,OBST JUDICIARY,166(C)(1) VIOL PROTECT ORDER,4,4C,1266,2019/01/03 20:02:00+00
113,1360055,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,6,6C,1445,2019/01/04 00:10:00+00
114,1360064,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0602,2019/01/03 07:05:00+00
115,1360065,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,2,2B,0523,2019/01/03 00:30:00+00
116,1360070,2999,04,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3A,0706,2019/01/03 16:50:00+00
117,1360071,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,5,5A,1522,2019/01/03 18:11:00+00
118,1360078,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1399,2019/01/02 01:01:00+00
119,1360086,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,2,2A,0506,2019/01/03 17:00:00+00
120,1360089,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1623,2019/01/01 18:00:00+00
121,1360091,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2A,0515,2019/01/02 07:35:00+00
122,1360092,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1443,2019/01/02 21:44:00+00
123,1360093,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0545,2019/01/03 02:34:00+00
124,1360094,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0545,2019/01/02 22:44:00+00
125,1360096,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6E,1105,2019/01/02 18:30:00+00
126,1360097,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2B,0546,2019/01/01 12:34:00+00
127,1360100,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4B,1326,2019/01/03 02:34:00+00
128,1360101,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6E,1116,2019/01/03 04:48:00+00
129,1360104,7000,43A,IMPOUND,IMPOUNDED VEHICLE,4,4B,0958,2019/01/03 01:23:00+00
130,1360106,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1C,0449,2019/01/03 05:00:00+00
131,1360107,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1421,2019/01/03 05:32:00+00
132,1360108,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0237,2019/01/03 06:23:00+00
133,1360109,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,3,3B,0766,2019/01/04 06:09:00+00
134,1360110,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0553,2019/01/03 12:50:00+00
135,1360111,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1C,0418,2019/01/03 23:55:00+00
136,1360112,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2A,0509,2019/01/04 00:31:00+00
137,1360113,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1C,0429,2019/01/04 03:12:00+00
138,1360116,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0507,2019/01/04 06:43:00+00
139,1360117,2206,0,BURGLARY,466 PC POSS OF BURG TOOLS,3,3A,0775,2019/01/04 07:34:00+00
140,1360118,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3M,0741,2019/01/01 08:21:00+00
141,1360121,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,1,1A,0356,2019/01/03 08:31:00+00
142,1360123,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0748,2019/01/03 05:00:00+00
143,1360127,2399,2,LARCENY,484 PC PETTY THEFT,1,1C,0309,2019/01/02 01:19:00+00
144,1360128,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0508,2019/01/03 20:40:00+00
145,1360130,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0502,2019/01/02 02:15:00+00
146,1360132,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0618,2019/01/03 21:30:00+00
147,1360133,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0441,2019/01/02 14:50:00+00
148,1360135,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1405,2019/01/03 19:50:00+00
149,1360137,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0336,2019/01/02 13:30:00+00
150,1360141,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0906,2019/01/02 00:05:00+00
151,1360146,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0957,2019/01/03 04:45:00+00
152,1360150,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2019/01/02 19:00:00+00
153,1360151,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5A,1504,2019/01/04 02:38:00+00
154,1360152,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2019/01/02 19:00:00+00
155,1360155,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2019/01/01 08:25:00+00
156,1360156,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0936,2019/01/04 06:22:00+00
157,1360162,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3B,0767,2019/01/01 19:00:00+00
158,1360168,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6D,0811,2019/01/01 23:20:00+00
159,1360169,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0626,2019/01/01 12:00:00+00
160,1360171,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1427,2019/01/02 02:00:00+00
161,1360175,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1427,2019/01/02 16:30:00+00
162,1360177,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6B,1084,2019/01/01 20:28:00+00
163,1360181,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,2019/01/03 19:35:00+00
164,1360182,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,0965,2019/01/03 02:57:00+00
165,1360195,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2019/01/02 23:47:00+00
166,1360196,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0333,2019/01/02 14:38:00+00
167,1360197,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1A,0333,2019/01/02 12:45:00+00
168,1360199,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2B,0531,2019/01/02 15:45:00+00
169,1360200,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1501,2019/01/02 09:00:00+00
170,1360203,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1262,2019/01/04 00:10:00+00
171,1360204,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0102,2019/01/04 00:30:00+00
172,1360206,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0602,2019/01/03 23:20:00+00
173,1360208,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0421,2019/01/01 14:05:00+00
174,1360209,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2C,0612,2019/01/03 08:20:00+00
175,1360210,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0747,2019/01/03 07:00:00+00
176,1360211,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1A,0104,2019/01/03 09:00:00+00
177,1360212,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0965,2019/01/03 03:50:00+00
178,1360234,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,5,5A,1364,2019/01/03 22:57:00+00
179,1360235,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0553,2019/01/02 23:55:00+00
180,1360248,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,3,3B,0787,2019/01/01 08:05:00+00
181,1360251,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0327,2019/01/02 21:40:00+00
182,1360257,2602,0,FRAUD,FRAUD-SWINDLE,4,4B,1354,2019/01/04 20:24:00+00
183,1360271,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0444,2019/01/01 19:00:00+00
184,1360272,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3A,0764,2019/01/02 17:00:00+00
185,1360273,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,3,3B,0778,2019/01/03 22:14:00+00
186,1360275,2699,4,FRAUD,532 PC FRAUD OBTAIN MONEY ETC,2,2A,0502,2019/01/03 18:00:00+00
187,1360276,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1C,0429,2019/01/03 23:30:00+00
188,1360277,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1411,2019/01/01 08:00:00+00
189,1360281,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0513,2019/01/03 23:10:00+00
190,1360284,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1427,2019/01/01 17:10:00+00
191,1360287,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1294,2019/01/02 07:00:00+00
192,1360297,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0232,2019/01/03 08:02:00+00
193,1360300,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1403,2019/01/04 07:09:00+00
194,1360301,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1084,2019/01/03 02:15:00+00
195,1360302,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0328,2019/01/03 19:00:00+00
196,1360303,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6C,1403,2019/01/02 20:37:00+00
197,1360305,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0444,2019/01/04 06:12:00+00
198,1360306,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4C,1298,2019/01/04 07:19:00+00
199,1360307,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0429,2019/01/03 20:30:00+00
200,1360309,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1A,0307,2019/01/03 02:08:00+00
201,1360316,3599,36,NARCOTICS,11364.1(A) POSS UNLAWFUL PARAP,3,3B,0746,2019/01/03 04:56:00+00
202,1360319,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0909,2019/01/02 22:19:00+00
203,1360320,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0429,2019/01/02 22:54:00+00
204,1360321,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0308,2019/01/04 07:53:00+00
205,1360322,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1618,2019/01/03 00:35:00+00
206,1360324,5403,1,TRAFFIC,23152(F) DUI DRUGS,6,6B,1084,2019/01/03 06:37:00+00
207,1360325,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0103,2019/01/04 23:00:00+00
208,1360340,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1081,2019/01/04 16:35:00+00
209,1360342,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0735,2019/01/04 20:30:00+00
210,1360343,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0905,2019/01/04 21:15:00+00
211,1360344,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6D,0851,2019/01/04 20:12:00+00
212,1360345,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3M,0742,2019/01/03 05:30:00+00
213,1360349,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1642,2019/01/04 00:12:00+00
214,1360351,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0748,2019/01/04 07:00:00+00
215,1360354,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0301,2019/01/04 00:00:00+00
216,1360355,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,4,4A,0907,2019/01/04 03:00:00+00
217,1360356,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0301,2019/01/04 00:00:00+00
218,1360357,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0301,2019/01/04 17:16:00+00
219,1360358,5707,8,TRESPASS,602.5 PC ENTRY OF PROPERTY,2,2C,0558,2019/01/04 17:21:00+00
220,1360360,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1C,0429,2019/01/04 17:59:00+00
221,1360361,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0406,2019/01/04 12:45:00+00
222,1360363,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1289,2019/01/04 18:19:00+00
223,1360364,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5B,1369,2019/01/04 19:10:00+00
224,1360366,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,3,3A,0785,2019/01/04 22:12:00+00
225,1360367,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0969,2019/01/04 04:30:00+00
226,1360368,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0508,2019/01/04 22:25:00+00
