FID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
24,1218393,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0348,2017/01/06 03:08:59
25,1218395,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0613,2017/01/06 00:20:00
26,1218397,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0226,2017/01/05 21:24:00
27,1218400,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1621,2017/01/05 02:29:59
28,1218402,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,0768,2017/01/04 19:37:00
29,1218403,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0734,2017/01/04 21:06:00
30,1218404,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0811,2017/01/05 19:40:00
31,1218405,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,2017/01/03 21:51:00
32,1218406,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3B,0726,2017/01/04 22:09:59
33,1218407,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3A,0764,2017/01/04 22:14:00
34,1218408,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,6,6B,1086,2017/01/04 18:45:00
35,1218409,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0724,2017/01/05 21:04:00
36,1218410,3699,22,SEX REGISTRATI,290.011(A) TRANS-30 DAY UPDTE,3,3M,0735,2017/01/05 20:00:00
37,1218411,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,0905,2017/01/05 20:22:00
38,1218412,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,2017/01/05 02:48:00
39,1218416,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5C,1623,2017/01/02 03:46:00
40,1218418,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5A,1393,2017/01/06 00:35:00
41,1218420,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6E,1115,2017/01/05 05:35:59
42,1218421,5404,17,TRAFFIC,23152(F) DUI ALCOHOL AND DRUGS,6,6B,1064,2017/01/05 21:58:00
43,1218426,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6D,0841,2017/01/01 17:29:59
44,1218427,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0564,2017/01/01 20:00:00
45,1218428,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3B,0748,2017/01/03 02:00:00
46,1218429,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0553,2017/01/03 21:40:00
47,1218430,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0553,2017/01/03 21:00:00
48,1218431,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1086,2017/01/06 05:00:00
49,1218432,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5A,1394,2017/01/04 11:25:00
50,1218433,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,1504,2017/01/02 19:36:00
51,1218602,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,5,5A,1502,2017/01/03 09:10:00
52,1218609,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,6,6C,1111,2017/01/04 01:20:00
53,1218614,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4B,1346,2017/01/01 10:12:00
54,1218616,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,3,3M,0731,2017/01/04 16:38:59
55,1218617,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0558,2017/01/04 05:00:00
56,1218624,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4B,0988,2017/01/04 19:15:00
57,1218630,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6A,1014,2017/01/04 17:00:00
58,1218634,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6A,1042,2017/01/05 19:38:59
59,1218636,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1441,2017/01/05 20:03:59
60,1218637,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,0988,2017/01/05 21:30:00
61,1218638,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2A,0233,2017/01/05 21:51:00
62,1218639,5005,4,OBST JUDICIARY,166(C)(1) VIOL PROTECT ORDER,3,3B,0736,2017/01/05 18:30:00
63,1218641,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,1,1A,0136,2017/01/05 05:29:59
64,1218643,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0734,2017/01/06 01:18:59
65,1218644,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,5,5A,1501,2017/01/06 01:24:00
66,1218649,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2C,0619,2017/01/06 02:10:00
67,1218650,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2C,0620,2017/01/06 02:57:00
68,1218659,7399,28,SAC CITY CODE,9.04.050(A) DRINKING IN PUBLIC,6,6D,0835,2017/01/07 16:15:59
69,1218660,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2C,0603,2017/01/07 10:02:00
70,1218662,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3A,0724,2017/01/07 07:30:00
71,1218663,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3M,0734,2017/01/07 05:35:59
72,1218664,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6D,0841,2017/01/06 23:32:59
73,1218665,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5C,1624,2017/01/06 10:12:00
74,1218666,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1032,2017/01/06 15:46:59
75,1218667,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0732,2017/01/06 18:33:00
76,1218668,5707,8,TRESPASS,602.5 PC ENTRY OF PROPERTY,1,1C,0416,2017/01/06 18:36:59
77,1218669,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,UI,UI,UI,2017/01/06 18:45:00
78,1218672,7399,151,SAC CITY CODE,5.116.210 PANHANDLING,2,2C,0619,2017/01/06 23:36:59
79,1218673,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,6,6A,1032,2017/01/07 01:09:59
80,1218674,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2C,0602,2017/01/07 01:20:00
81,1218675,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,0602,2017/01/07 02:38:00
82,1218676,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0327,2017/01/07 02:38:00
83,1218679,5707,0,PRIVACY,602 PC TRESPASS,1,1B,0440,2017/01/07 06:37:59
84,1218682,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,6,6B,1064,2017/01/07 09:43:59
85,1218684,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,1115,2017/01/06 00:59:59
86,1218685,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2C,0603,2017/01/07 06:08:59
87,1218690,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5C,1647,2017/01/06 04:04:00
88,1218691,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,1,1B,0435,2017/01/06 04:06:59
89,1218696,5307,0,PUBLIC PEACE,PUBLIC PEACE-UNLAWFUL ASSEMBLY,3,3A,0724,2017/01/07 17:28:00
90,1218697,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0213,2017/01/06 02:00:00
91,1218699,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2B,0531,2017/01/06 05:00:59
92,1218700,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4B,1351,2017/01/04 15:59:59
93,1218701,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5C,1606,2017/01/04 23:16:59
94,1218704,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0602,2017/01/07 06:00:00
95,1218706,2404,12,AUTO THEFT,10855 VC LSE/RENT NOT RETURNED,5,5A,1365,2017/01/07 23:13:59
96,1218709,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0221,2017/01/06 08:35:00
97,1218711,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0556,2017/01/07 19:25:00
98,1218713,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,1,1C,0407,2017/01/07 18:42:00
99,1218714,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,4,4B,1354,2017/01/07 01:50:00
100,1218715,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1006,2017/01/07 05:29:59
101,1217939,2309,0,LARCENY,484 PC PETTY THEFT/OUTSIDE,2,2A,0236,2017/01/03 19:09:59
102,1217941,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2A,0233,2017/01/01 15:59:59
103,1217942,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0226,2017/01/03 00:59:59
104,1217944,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5A,1381,2017/01/02 02:00:00
105,1217945,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0223,2017/01/03 06:59:59
106,1217946,3532,1,DANGEROUS DRUG,11351 HS POSS/SALE COCAINE,2,2A,0505,2017/01/03 07:54:00
107,1217947,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1A,0104,2017/01/03 08:19:59
108,1217948,5311,1,PUBLIC PEACE,415(1) PC DISTURB PEACE/FIGHT,2,2A,0212,2017/01/03 12:00:00
109,1217949,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6A,1061,2017/01/02 17:19:59
110,1218052,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0411,2017/01/03 05:39:59
111,1217951,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1661,2017/01/02 21:59:00
112,1218053,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2B,0521,2017/01/01 08:00:59
113,1217953,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0333,2017/01/03 14:38:00
114,1218058,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0732,2017/01/04 02:16:59
115,1217955,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0501,2017/01/03 15:16:00
116,1218059,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0412,2017/01/03 04:34:59
117,1218060,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0923,2017/01/02 19:30:00
118,1217960,7399,62,SAC CITY CODE,12.52.030(A) UNLAWFUL CAMP-PUB,2,2B,0542,2017/01/03 20:35:00
119,1217965,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0724,2017/01/02 00:59:59
120,1218061,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0907,2017/01/03 05:00:00
121,1217967,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,1,1C,0416,2017/01/03 20:29:59
122,1218066,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2B,0544,2017/01/04 08:10:00
123,1217970,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,1086,2017/01/03 22:08:00
124,1218067,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6C,1424,2017/01/04 05:29:59
125,1217972,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,0224,2017/01/02 23:29:59
126,1218071,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,0411,2017/01/02 15:00:00
127,1217988,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0306,2017/01/04 06:00:00
128,1218074,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0531,2017/01/02 23:00:00
129,1217989,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,1,1C,0438,2017/01/02 21:30:59
130,1218075,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0905,2017/01/04 03:35:00
131,1217990,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1654,2017/01/02 23:51:00
132,1218076,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2A,0226,2017/01/04 12:14:59
133,1217993,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,4,4A,0909,2017/01/03 21:53:59
134,1218078,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0715,2017/01/04 00:59:59
135,1217994,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,0965,2017/01/04 09:24:59
136,1218083,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0612,2017/01/04 06:59:59
137,1217999,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4C,1253,2017/01/03 00:27:00
138,1218085,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,0553,2017/01/04 09:11:59
139,1218002,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0103,2017/01/04 07:30:00
140,1218087,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6A,1001,2017/01/03 08:00:00
141,1218003,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2C,0568,2017/01/03 18:01:00
142,1218088,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2B,0563,2017/01/04 00:14:59
143,1218091,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4B,0998,2017/01/03 20:00:00
144,1218004,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2017/01/04 03:59:59
145,1218095,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2A,0510,2017/01/04 00:59:59
146,1218008,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,1402,2017/01/03 09:00:00
147,1218009,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,1448,2017/01/03 18:52:00
148,1218096,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0338,2017/01/03 16:50:00
149,1218010,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0237,2017/01/03 18:58:00
150,1218011,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0611,2017/01/03 12:53:59
151,1218016,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6B,1054,2017/01/03 15:45:00
152,1218017,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,6,6D,0831,2017/01/03 20:47:00
153,1218018,3599,34,NARCOTICS,11379(A)HS SALE/TRAN CNTRL SUB,3,3B,0736,2017/01/03 21:06:00
154,1218020,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,6,6A,1022,2017/01/02 19:30:00
155,1218022,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1661,2017/01/03 21:48:00
156,1218024,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0564,2017/01/03 21:56:59
157,1218025,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,6,6C,1111,2017/01/03 21:30:00
158,1218026,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,3,3M,0734,2017/01/03 22:15:59
159,1218028,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0744,2017/01/03 22:53:00
160,1218034,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,1,1C,0309,2017/01/02 21:43:00
161,1218035,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,3,3B,0778,2017/01/04 01:06:59
162,1218038,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0843,2017/01/04 00:35:00
163,1218041,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,4,4A,0913,2017/01/02 01:28:59
164,1218042,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4A,0906,2017/01/04 00:59:59
165,1218045,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3B,0748,2017/01/04 03:42:00
166,1218046,2501,01,FORGERY,476 PC PASS FICTICIOUS CHECK,2,2C,0619,2017/01/04 03:49:59
167,1218047,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4A,0947,2017/01/04 04:59:00
168,1218049,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0619,2017/01/02 21:00:00
169,1218050,3599,60,NARCOTICS,11350(A) POSS CONT SUB/SUPER X,6,6B,1087,2017/01/04 04:51:59
170,1218051,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0336,2017/01/03 06:00:00
171,1218105,1315,39,AGG ASSAULT,245(A)(4)AWDW-FORCE ONLY,2,2B,0563,2017/01/04 11:54:00
172,1218106,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0563,2017/01/04 03:59:59
173,1218107,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2B,0543,2017/01/04 16:28:59
174,1218115,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0721,2017/01/01 22:30:00
175,1218118,2310,0,LARCENY,1708 US THEFT OF MAIL,2,2C,0603,2017/01/04 18:35:00
176,1218121,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0721,2017/01/01 22:30:00
177,1218125,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0613,2017/01/04 03:59:59
178,1218126,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0746,2017/01/04 01:30:00
179,1218127,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,6,6C,1405,2017/01/04 18:00:00
180,1218132,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0531,2017/01/03 12:17:00
181,1218133,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0238,2017/01/04 00:36:00
182,1218134,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,3,3A,0765,2017/01/04 18:00:00
183,1218138,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1618,2017/01/04 02:00:00
184,1218144,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2B,0543,2017/01/04 17:47:00
185,1218146,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0434,2017/01/03 06:59:59
186,1218147,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,1115,2017/01/04 21:00:00
187,1218150,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0333,2017/01/04 15:14:59
188,1218151,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,0937,2017/01/04 16:09:59
189,1218153,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0442,2017/01/04 17:00:00
190,1218155,2602,0,FRAUD,FRAUD-SWINDLE,3,3B,0768,2017/01/03 18:00:00
191,1218156,2399,2,LARCENY,484 PC PETTY THEFT,1,1C,0408,2017/01/03 03:35:00
192,1218158,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3A,0725,2017/01/04 17:25:00
193,1218159,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0746,2017/01/04 06:30:00
194,1218161,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6E,0878,2017/01/04 16:05:00
195,1218162,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2A,0506,2017/01/04 21:10:00
196,1218163,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1086,2017/01/04 20:45:00
197,1218434,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5C,1623,2017/01/04 07:53:00
198,1218171,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,0412,2017/01/04 20:29:59
199,1218172,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0563,2017/01/03 23:00:00
200,1218174,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6E,1115,2017/01/04 15:16:00
201,1218175,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3A,0723,2017/01/03 06:36:59
202,1217779,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,0926,2017/01/01 23:45:00
203,1218435,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,1504,2017/01/02 23:58:00
204,1217783,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0619,2017/01/01 23:10:59
205,1218436,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4C,1311,2017/01/01 15:51:00
206,1217787,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1262,2017/01/02 07:54:59
207,1218439,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0603,2017/01/04 03:46:59
208,1217791,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1114,2017/01/01 17:29:59
209,1218441,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0504,2017/01/06 08:44:00
210,1217792,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1399,2017/01/01 08:29:59
211,1218442,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1086,2017/01/06 05:00:00
212,1217796,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1262,2017/01/01 20:50:00
213,1218444,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0216,2017/01/03 08:42:59
214,1217797,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0606,2017/01/02 03:59:59
215,1218451,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1133,2017/01/06 06:00:00
216,1217798,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6D,0834,2017/01/02 07:18:00
217,1218454,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1132,2017/01/06 15:10:00
218,1217814,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1013,2017/01/01 18:58:00
219,1218463,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0768,2017/01/02 01:34:00
220,1217818,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0337,2017/01/01 15:00:00
221,1218465,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1623,2017/01/04 00:59:59
222,1217820,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0612,2017/01/02 05:00:00
223,1218466,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0233,2017/01/06 09:00:00
224,1217823,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0504,2017/01/02 21:17:00
225,1218467,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1084,2017/01/02 06:08:59
226,1217824,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,0876,2017/01/02 06:59:59
227,1218468,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0516,2017/01/06 05:00:00
228,1217827,5309,02,PUBLIC PEACE,653X(A) MISUSE 911 EMERGENCY,3,3A,0715,2017/01/02 11:02:00
229,1218469,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,1344,2017/01/05 04:49:00
230,1217828,5212,12,WEAPON OFFENSE,653K PC POSS/SELL SWITCHBLADE,3,3M,0731,2017/01/02 20:06:59
